Group,PING
Group 1,7.01677453727
Group 1,7.01677453734
Group 1,7.01677453741
Group 1,8.01677453749
Group 1,7.01677453756
Group 1,7.01677453763
Group 1,7.01677453770
Group 1,7.01677453777
Group 1,48.01677453785
Group 1,7.01677453792
Group 1,7.01677453799
Group 1,7.01677453806
Group 1,8.01677453814
Group 1,7.01677453821
Group 1,7.01677453828
Group 1,7.01677453835
Group 1,48.01677453843
Group 1,7.01677453850
Group 1,7.01677453857
Group 1,7.01677453864
Group 1,7.01677453871
Group 1,8.01677453879
Group 1,7.01677453886
Group 1,7.01677453893
Group 1,47.01677453900
Group 1,8.01677453908
Group 1,7.01677453915
Group 1,7.01677453922
Group 1,7.01677453929
Group 1,8.01677453937
