"Group","media","LOG"
"Group 1",0.916766,-0.08690301922418088
"Group 1",0.783441,-0.24405952314847854
"Group 1",2.05011,0.7178934502473344
"Group 1",2.11678,0.7498960661101854
"Group 1",17.2501,2.847817940562015
"Group 1",0.783441,-0.24405952314847854
"Group 1",0.750114,-0.28753008400261054
"Group 1",0.85011,-0.16238952610604904
"Group 1",0.850115,-0.16238364453155163
"Group 1",2.18344,0.7809016147475182
"Group 2",15.8834,2.765274538695066
"Group 2",18.6168,2.9240643988626345
"Group 2",17.2834,2.8497465032806044
"Group 2",17.3168,2.851677128558745
"Group 2",17.2834,2.8497465032806044
"Group 2",18.6501,2.9258515080057443
"Group 2",17.2834,2.8497465032806044
"Group 2",17.3168,2.851677128558745
"Group 2",150.65,5.01495926557631
"Group 2",17.3168,2.851677128558745
