"Group","media","LOG"
"Group 1",0.516766,-0.6601651181516516
"Group 1",0.516775,-0.6601477022968374
"Group 1",135.183,4.906629416058001
"Group 1",1.85011,0.6152450967820493
"Group 1",7.91678,2.0689845574995442
"Group 1",0.516774,-0.6601496373768385
"Group 1",0.516781,-0.6601360918954656
"Group 1",0.483444,-0.7268197929269888
"Group 1",0.483449,-0.726809450520952
"Group 1",0.516776,-0.6601457672205808
"Group 2",9.2501,2.224634362276708
"Group 2",9.21677,2.2210246508106217
"Group 2",7.88344,2.064764356833685
"Group 2",7.91678,2.0689845574995442
"Group 2",7.85011,2.060527544434993
"Group 2",7.85011,2.060527544434993
"Group 2",9.21678,2.2210257357888272
"Group 2",9.21678,2.2210257357888272
"Group 2",7.88345,2.06476562531466
"Group 2",7.91678,2.0689845574995442
