"Group","media","LOG"
"Group 1",2.25011,0.8109791039101948
"Group 1",0.516774,-0.6601496373768385
"Group 1",0.483442,-0.7268239299193541
"Group 1",0.21678,-1.5288722645945332
"Group 1",1.81677,0.5970601991233404
"Group 1",0.516781,-0.6601360918954656
"Group 1",0.516777,-0.6601438321480688
"Group 1",1.85012,0.6152505018514639
"Group 1",0.516776,-0.6601457672205808
"Group 2",33.6168,3.5150259420108094
"Group 2",33.5501,3.5130398440391803
"Group 2",33.5834,3.514031897268375
"Group 2",33.5834,3.514031897268375
"Group 2",33.6168,3.5150259420108094
"Group 2",33.5834,3.514031897268375
