Group,LOG
Group 1,1.2188899878401027
Group 1,1.1888916532978313
Group 1,1.737556683213739
Group 1,1.2188929434163143
Group 1,1.0355943885778895
Group 1,1.1888916532978313
Group 1,1.1989944327728528
Group 1,1.1888916532978313
Group 1,1.2188958989837906
Group 1,1.2089931811187868
Group 2,5.817854930916049
Group 2,5.817953067364451
Group 2,6.151774789250623
Group 2,5.818152284471615
Group 2,5.813882739933161
Group 2,5.817953067364451
Group 2,5.8139812669542765
Group 2,5.813882739933161
Group 2,5.817854930916049
Group 2,5.817953067364451
