"Group","media","LOG"
"Group 1",0.5501,-0.5976551991007246
"Group 1",0.516775,-0.6601477022968374
"Group 1",0.516774,-0.6601496373768385
"Group 1",0.516775,-0.6601477022968374
"Group 1",9.25011,2.2246354433455178
"Group 1",2.95011,1.0818424577921364
"Group 1",0.450115,-0.7982521733109748
"Group 1",1.85011,0.6152450967820493
"Group 1",0.483449,-0.726809450520952
"Group 1",1.88344,0.6330998920545576
"Group 2",7.88343,2.064763088351101
"Group 2",9.21677,2.2210246508106217
"Group 2",7.91677,2.0689832943589344
"Group 2",7.91678,2.0689845574995442
"Group 2",7.91678,2.0689845574995442
"Group 2",7.88344,2.064764356833685
"Group 2",9.18345,2.2174029510243454
"Group 2",9.25011,2.2246354433455178
"Group 2",9.25012,2.2246365244131585
"Group 2",7.91678,2.0689845574995442
