"Group","media","LOG"
"Group 1",4.93343,1.5960344865045828
"Group 1",0.916775,-0.08689320215436885
"Group 1",0.516774,-0.6601496373768385
"Group 1",0.583442,-0.5388102323674304
"Group 1",7.95011,2.0731857650485046
"Group 1",0.550108,-0.5976406563960721
"Group 1",0.550115,-0.597627931702987
"Group 1",0.55011,-0.5976370207529542
"Group 1",0.516782,-0.6601341568416761
"Group 1",0.516776,-0.6601457672205808
"Group 2",9.28344,2.228232167764846
"Group 2",9.25011,2.2246354433455178
"Group 2",9.28344,2.228232167764846
"Group 2",7.95011,2.0731857650485046
"Group 2",9.31677,2.2318160021058384
"Group 2",7.91678,2.0689845574995442
"Group 2",7.98344,2.077369396268657
"Group 2",9.28345,2.2282332449511704
"Group 2",7.95011,2.0731857650485046
