Group,WGET
Group 1,5.01676646523
Group 1,5.01676646529
Group 1,5.01676646534
Group 1,5.01676646539
Group 1,46.01676646545
Group 1,5.01676646550
Group 1,5.01676646555
Group 1,6.01676646561
Group 1,5.01676646566
Group 1,5.01676646571
Group 1,5.01676646576
Group 1,6.01676646582
Group 1,5.01676646587
Group 1,5.01676646592
Group 1,6.01676646598
Group 1,45.01676646603
Group 1,5.01676646608
Group 1,5.01676646613
Group 1,6.01676646619
Group 1,5.01676646624
Group 1,5.01676646629
Group 1,6.01676646635
Group 1,5.01676646640
Group 1,5.01676646645
Group 1,6.01676646651
Group 1,5.01676646656
Group 1,45.01676646661
Group 1,5.01676646666
Group 1,6.01676646672
Group 1,5.01676646677
