Group,PING
Group 1,8.01678116405
Group 1,7.01678116412
Group 1,7.01678116419
Group 1,47.01678116426
Group 1,7.01678116433
Group 1,8.01678116441
Group 1,7.01678116448
Group 1,7.01678116455
Group 1,7.01678116462
Group 1,8.01678116470
Group 1,7.01678116477
Group 1,47.01678116484
Group 1,7.01678116491
Group 1,7.01678116498
Group 1,8.01678116506
Group 1,7.01678116513
Group 1,7.01678116520
Group 1,7.01678116527
Group 1,8.01678116535
Group 1,47.01678116542
Group 1,7.01678116549
Group 1,7.01678116556
Group 1,7.01678116563
Group 1,8.01678116571
Group 1,7.01678116578
Group 1,7.01678116585
Group 1,7.01678116592
Group 1,7.01678116599
Group 1,48.01678116607
Group 1,7.01678116614
