"Group","media","LOG"
"Group 1",12.5501,2.5297286336735376
"Group 1",11.2501,2.420377017499812
"Group 1",11.1834,2.414430535983676
"Group 1",12.5834,2.5323784850261344
"Group 1",11.2168,2.4174126544247847
"Group 1",11.1834,2.414430535983676
"Group 1",11.2168,2.4174126544247847
"Group 1",11.2501,2.420377017499812
"Group 1",145.917,4.983037966904152
"Group 1",12.5834,2.5323784850261344
"Group 2",163.583,5.097320506788983
"Group 2",30.2168,3.4083980610988562
"Group 2",30.2168,3.4083980610988562
"Group 2",30.2168,3.4083980610988562
"Group 2",163.55,5.097118753984393
"Group 2",31.5501,3.4515767585543067
"Group 2",164.917,5.105442317035362
"Group 2",30.2501,3.4094994902565103
"Group 2",30.2168,3.4083980610988562
"Group 2",30.2168,3.4083980610988562
