"Group","media","LOG"
"Group 1",17.0501,2.8361560688149656
"Group 1",2.15011,0.7655190036214983
"Group 1",0.516774,-0.6601496373768385
"Group 1",1.78344,0.5785440835351864
"Group 1",1.58345,0.4596060108744184
"Group 1",0.516774,-0.6601496373768385
"Group 1",0.516781,-0.6601360918954656
"Group 1",0.416777,-0.875203972407232
"Group 1",0.483449,-0.726809450520952
"Group 1",0.516776,-0.6601457672205808
"Group 2",33.5501,3.5130398440391803
"Group 2",33.6168,3.5150259420108094
"Group 2",33.5834,3.514031897268375
"Group 2",33.5834,3.514031897268375
"Group 2",33.5834,3.514031897268375
"Group 2",33.5834,3.514031897268375
"Group 2",168.25,5.125450968524837
"Group 2",166.917,5.117496682880317
"Group 2",33.6168,3.5150259420108094
