"Group","media","LOG"
"Group 1",3.2501,1.1786857650990523
"Group 1",3.31677,1.198991417795955
"Group 1",3.21677,1.1683777505191404
"Group 1",3.41678,1.2286985870978784
"Group 1",2.81678,1.0355943885778895
"Group 1",3.25011,1.1786888419227242
"Group 1",3.21678,1.1683808592227334
"Group 1",3.28344,1.1888916532978313
"Group 1",3.28345,1.18889469887953
"Group 1",3.38344,1.2188929434163143
"Group 2",69.4834,4.241087875120937
"Group 2",-7665.12,
"Group 2",336.25,5.817854930916049
"Group 2",336.25,5.817854930916049
"Group 2",336.183,5.817655654556257
"Group 2",334.883,5.813781217090434
"Group 2",336.25,5.817854930916049
"Group 2",336.25,5.817854930916049
"Group 2",336.217,5.8177567848359395
"Group 2",336.317,5.818054167572684
